Name;Path;URL;Kolonne1;Kolonne3
NAV Hjelpemiddelsentral Østfold;/www.nav.no/no/lokalt/ostfold/nav-hjelpemiddelsentral-ostfold;https://www-x4.nav.no/sok?f=1&uf=4&daterange=-1&ord=&c=1&s=16;;
NAV- og Altinn-tjenester;/www.nav.no/no/bedrift/tjenester-og-skjemaer/nav-og-altinn-tjenester;;;
NAV og samfunn;/www.nav.no/no/nav-og-samfunn;https://www-x4.nav.no/sok?f=1&uf=5&daterange=-1&ord=&c=1&s=0;;
Nordland;/www.nav.no/no/lokalt/nordland;https://www-x4.nav.no/sok?f=4&uf=1&uf=8&daterange=-1&ord=&c=1&s=0;;
Oppfølging og tiltak for å komme i jobb;/www.nav.no/no/person/arbeid/oppfolging-og-tiltak-for-a-komme-i-jobb;https://www-x4.nav.no/sok?f=1&uf=0&daterange=-1&ord=&c=1&s=0;;
Oppland;/www.nav.no/no/lokalt/oppland;https://www-x4.nav.no/sok?f=4&uf=9&daterange=-1&ord=&c=1&s=0;;
Oslo;/www.nav.no/no/lokalt/oslo;https://www-x4.nav.no/sok?f=4&uf=10&daterange=-1&ord=&c=1&s=0;;
Pensjon - statistikk;/www.nav.no/no/nav-og-samfunn/statistikk/pensjon-statistikk;https://www-x4.nav.no/sok?f=1&uf=2&daterange=-1&ord=&c=1&s=0;;
Permittering og omstilling;/www.nav.no/no/bedrift/oppfolging/permittering-og-omstilling;https://www-x4.nav.no/sok?f=1&uf=1&daterange=-1&ord=&c=1&s=0;;
Person;/www.nav.no/no/person;https://www-x4.nav.no/sok?f=1&daterange=-1&ord=&c=1&s=0;;
Presse;/www.nav.no/no/nav-og-samfunn/kontakt-nav/presse;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Pågående forsøk;/www.nav.no/no/nav-og-samfunn/kunnskap/forsok-i-regi-av-nav;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Rogaland;/www.nav.no/no/lokalt/rogaland;https://www-x4.nav.no/sok?f=4&uf=12&daterange=-1&ord=&c=1&s=0;;
Samarbeid med universitet og høyskoler;/www.nav.no/no/nav-og-samfunn/kunnskap/samarbeid-med-universitet-og-hoyskoler;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Sámegiella;/www.nav.no/se/samegiella;https://www-x4.nav.no/sok?f=1&daterange=-1&ord=&c=1&s=0;;
Sikkerhet i NAV;/www.nav.no/no/nav-og-samfunn/samarbeid/noindex/sikkerhet-i-nav;;;
Sogn og Fjordane;/www.nav.no/no/lokalt/sogn-og-fjordane;https://www-x4.nav.no/sok?f=4&uf=13&daterange=-1&ord=&c=1&s=0;;
